d,sigma,theta,p
0.0035,0.06,0.35,0
0.005,0.06,0.35,1.41504e-34
0.0065,0.06,0.35,0
0.008,0.06,0.35,0
0.0035,0.065,0.35,4.32431e-37
0.005,0.065,0.35,1.20249e-15
0.0065,0.065,0.35,1.28577e-30
0.008,0.065,0.35,0
0.0035,0.07,0.35,2.25051e-30
0.005,0.07,0.35,4.33532e-10
0.0065,0.07,0.35,5.90466e-23
0.008,0.07,0.35,0
0.0035,0.075,0.35,9.5192e-34
0.005,0.075,0.35,1.53698e-14
0.0065,0.075,0.35,1.23662e-25
0.008,0.075,0.35,0
0.0035,0.06,0.5,0
0.005,0.06,0.5,2.19472e-23
0.0065,0.06,0.5,4.46284e-30
0.008,0.06,0.5,0
0.0035,0.065,0.5,6.81873e-34
0.005,0.065,0.5,2.07601e-05
0.0065,0.065,0.5,5.2356e-10
0.008,0.065,0.5,1.65353e-43
0.0035,0.07,0.5,7.02357e-28
0.005,0.07,0.5,0.997566
0.0065,0.07,0.5,0.00240569
0.008,0.07,0.5,2.3311e-32
0.0035,0.075,0.5,8.75901e-32
0.005,0.075,0.5,6.70657e-06
0.0065,0.075,0.5,6.18958e-07
0.008,0.075,0.5,3.76092e-32
0.0035,0.06,0.65,0
0.005,0.06,0.65,7.32038e-32
0.0065,0.06,0.65,1.79422e-41
0.008,0.06,0.65,0
0.0035,0.065,0.65,1.88531e-39
0.005,0.065,0.65,1.01613e-12
0.0065,0.065,0.65,6.97257e-19
0.008,0.065,0.65,0
0.0035,0.07,0.65,3.40806e-33
0.005,0.07,0.65,4.36439e-07
0.0065,0.07,0.65,3.1746e-10
0.008,0.07,0.65,4.47511e-39
0.0035,0.075,0.65,7.65324e-37
0.005,0.075,0.65,1.8987e-11
0.0065,0.075,0.65,3.49164e-12
0.008,0.075,0.65,3.15621e-36
0.0035,0.06,0.8,0
0.005,0.06,0.8,0
0.0065,0.06,0.8,0
0.008,0.06,0.8,0
0.0035,0.065,0.8,0
0.005,0.065,0.8,5.93758e-37
0.0065,0.065,0.8,0
0.008,0.065,0.8,0
0.0035,0.07,0.8,5.60519e-45
0.005,0.07,0.8,1.12977e-28
0.0065,0.07,0.8,4.54441e-42
0.008,0.07,0.8,0
0.0035,0.075,0.8,0
0.005,0.075,0.8,8.55054e-31
0.0065,0.075,0.8,3.59908e-40
0.008,0.075,0.8,0
